a_id,a_subtype,at_ip,at_fqdn,a_tags,v_name,v_description,v_remedy,v_severity,v_location,v_cve,v_cwe,v_published_datetime,v_tags,v_details
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2022-48624: less -- security update,Debian: CVE-2022-48624: less -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2022-48624,,19-02-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.8""}]","{""cvss_v2"": ""6.8"", ""cvss_v3"": ""7.8"", ""risk_score"": ""522"", ""instances"": ""6"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-26791: linux -- security update,Debian: CVE-2024-26791: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2024-26791,,04-04-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.1""}]","{""cvss_v2"": ""6.2"", ""cvss_v3"": ""7.1"", ""risk_score"": ""475"", ""instances"": ""6"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Apache Tomcat: Important: APR/Native Connector crash leading to DoS (CVE-2025-52434),Apache Tomcat: Important: APR/Native Connector crash leading to DoS (CVE-2025-52434),Please refer to vendor security advisory for remediation steps.,10,/,CVE-2025-52434,,07-07-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Critical""}, {""key"": ""cvss_v3"", ""value"": ""7.5""}]","{""cvss_v2"": ""7.8"", ""cvss_v3"": ""7.5"", ""risk_score"": ""502"", ""instances"": ""1"", ""modified_on"": ""8/11/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-6387: openssh -- security update,Debian: CVE-2024-6387: openssh -- security update,Please refer to vendor security advisory for remediation steps.,10,/,CVE-2024-6387,,01-07-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Critical""}, {""key"": ""cvss_v3"", ""value"": ""8.1""}]","{""cvss_v2"": ""9.3"", ""cvss_v3"": ""8.1"", ""risk_score"": ""663"", ""instances"": ""1"", ""exploits"": ""exploitdb"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2023-5717: linux -- security update,Debian: CVE-2023-5717: linux -- security update,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2023-5717,,25-10-2023 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""7.8""}]","{""cvss_v2"": ""6.8"", ""cvss_v3"": ""7.8"", ""risk_score"": ""522"", ""instances"": ""6"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Ubuntu: (Multiple Advisories) (CVE-2023-5388): Firefox vulnerabilities,Ubuntu: (Multiple Advisories) (CVE-2023-5388): Firefox vulnerabilities,Please refer to vendor security advisory for remediation steps.,8,/,CVE-2023-5388,,19-03-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""6.5""}]","{""cvss_v2"": ""6.4"", ""cvss_v3"": ""6.5"", ""risk_score"": ""435"", ""instances"": ""2"", ""modified_on"": ""8/18/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-38387: linux, linux-6.1 -- security update","Debian: CVE-2025-38387: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-38387,,28-07-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""29"", ""modified_on"": ""10/24/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-32002: git -- security update,Debian: CVE-2024-32002: git -- security update,Please refer to vendor security advisory for remediation steps.,10,/,CVE-2024-32002,,14-05-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Critical""}, {""key"": ""cvss_v3"", ""value"": ""9.0""}]","{""cvss_v2"": ""9.3"", ""cvss_v3"": ""9.0"", ""risk_score"": ""602"", ""instances"": ""5"", ""modified_on"": ""8/15/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]",Debian: CVE-2024-26764: linux -- security update,Debian: CVE-2024-26764: linux -- security update,Please refer to vendor security advisory for remediation steps.,5,/,CVE-2024-26764,,03-04-2024 00:00:00,"[{""key"": ""severity"", ""value"": ""Moderate""}, {""key"": ""cvss_v3"", ""value"": ""3.3""}]","{""cvss_v2"": ""1.7"", ""cvss_v3"": ""3.3"", ""risk_score"": ""221"", ""instances"": ""6"", ""modified_on"": ""7/28/25""}"
,,,,"[{""key"": ""source"", ""value"": ""vulnerability_export""}, {""key"": ""imported"", ""value"": ""2025-11-11""}]","Debian: CVE-2025-38191: linux, linux-6.1 -- security update","Debian: CVE-2025-38191: linux, linux-6.1 -- security update",Please refer to vendor security advisory for remediation steps.,8,/,CVE-2025-38191,,04-07-2025 00:00:00,"[{""key"": ""severity"", ""value"": ""Severe""}, {""key"": ""cvss_v3"", ""value"": ""5.5""}]","{""cvss_v2"": ""4.6"", ""cvss_v3"": ""5.5"", ""risk_score"": ""368"", ""instances"": ""29"", ""modified_on"": ""10/24/25""}"
